"","Country","PII_Administrative Transparency","PII_Budget Transparency","PII_Freedom of the Press"
"1","AT",0.75,0.714444444444444,0.865555555555555
"2","BE",0.625555555555556,0.643333333333333,0.931111111111111
"3","BU",0.75,0.786666666666667,0.573333333333333
"4","CZ",1,0.904444444444444,0.767777777777778
"5","DE",0.75,0.976666666666667,0.881111111111111
"6","DK",1,0.928888888888889,0.974444444444444
"7","EE",0.75,0.785555555555556,0.881111111111111
"8","EL",0.375555555555556,0.615555555555556,0.688888888888889
"9","ES",0.75,0.856666666666667,0.808888888888889
"10","FI",0.75,1,0.996666666666667
"11","FR",0.875555555555556,0.833333333333333,0.778888888888889
"12","HR",1,0.856666666666667,0.704444444444444
"13","HU",0.75,0.737777777777778,0.651111111111111
"14","IE",0.5,0.713333333333333,0.927777777777778
"15","IT",0.75,0.881111111111111,0.767777777777778
"16","LT",0.75,0.547777777777778,0.813333333333333
"17","LU",0.625555555555556,0.785555555555556,0.848888888888889
"18","LV",0.875555555555556,0.785555555555556,0.825555555555555
"19","MT",0.875555555555556,0.571111111111111,0.668888888888889
"20","NL",0.75,0.795555555555556,0.958888888888889
"21","PL",0.75,0.737777777777778,0.691111111111111
"22","PT",0.75,0.737777777777778,0.952222222222222
"23","RO",0.875555555555556,0.904444444444444,0.746666666666667
"24","SE",0.625555555555556,0.714444444444444,0.992222222222222
"25","SI",1,0.928888888888889,0.772222222222222
"26","SK",1,0.905555555555556,0.773333333333333
