"","Country","QOG_proff2","QOG_proff3","QOG_impar1"
"1","AT",NA,NA,0.570433779029441
"2","BE",0.545935890907803,0.747338838581493,0.323541716350746
"3","BG",0.331939284609194,0.49755934965327,0.729274584292212
"4","HR",0.438614443570188,0.676554412854299,0.640317197021988
"5","CY",NA,NA,NA
"6","CZ",0.742049606408492,0.53906125721606,0.401174657393352
"7","DK",0.802862086677202,0.534699364149256,0.278564179667698
"8","EE",0.737609279512852,0.465665665208411,0.30537643068203
"9","FI",0.771713672558382,NA,0.357384631515624
"10","FR",0.752388067474433,0.954375567561205,0.331728945471912
"11","DE",0.66778419807263,0.88589182190031,0.152018454016232
"12","EL",0.46194757558082,0.665277512371995,0.624829455430444
"13","HU",0.352773558736395,0.114994184529545,0.607600419967743
"14","IE",0.662040095139677,0.877157349513287,0.425130288057795
"15","IT",0.578405910671791,0.862742882507469,0.618006730013233
"16","LV",NA,0.514869782482098,0.4324232677174
"17","LT",NA,NA,NA
"18","LU",NA,NA,NA
"19","MT",NA,0.802327400234946,NA
"20","NL",0.974207154254141,0.717582817717541,0.168344556708807
"21","PL",0.316089817151852,0.250201069927176,0.631963095527324
"22","PT",0.378444527917413,0.819816794940692,0.612899765530418
"23","RO",0.43380947869956,0.516595097420673,0.704442939661887
"24","SK",0.356361992491555,0.356418108227009,0.558535568254085
"25","SI",0.671711603281675,0.744422064728823,0.432574421327279
"26","ES",0.431149705698649,0.776201371833848,0.51713347496928
"27","SE",0.901284298451127,0.839201057756484,0.145036713534163
