"","Country","QOG_pop_q14","QOG_pop_q15","QOG_pop_q16","QOG_pop_q17_1","QOG_pop_q17_2","QOG_pop_q18_1","QOG_pop_q18_2","QOG_pop_q18_3","QOG_pop_q18_4"
"1","AT",0.778816199376947,0.728469379564973,0.74799989151954,0.813885014721835,0.753910997336643,0.977165883143049,0.97554957379991,0.980920314253648,0.972997299729973
"2","FR",0.729407312804503,0.707290238967675,0.638151174668029,0.639268771773775,0.559856930509104,0.956732619909154,0.954070660522273,0.961609763633555,0.945500927643785
"3","DE",0.783160138555822,0.756382575014067,0.760448400135396,0.822472872112718,0.770043854717193,0.964304517215963,0.966468389745749,0.971612155685469,0.967471088345567
"4","EL",0.652104787714544,0.532306668068257,0.558234029372107,0.597379341219416,0.513849543594586,0.964168408480143,0.851337217988944,0.959771840288202,0.921048643733899
"5","HU",0.715172970622943,0.619945452389422,0.662914783036565,0.64238683127572,0.498760246200519,0.96763590391909,0.881360201511335,0.974157588041551,0.967080273486959
"6","IE",0.77581265864243,0.761227605045392,0.736303871439007,0.753131021194605,0.717868839364166,0.951547779273217,0.956317204301075,0.956902356902357,0.967069892473118
"7","IT",0.670889019093589,0.581925412286977,0.646982144196864,0.691256235827664,0.627161508262576,0.972163412530385,0.95409604519774,0.971787819253438,0.967271293375394
"8","LV",0.706150341685649,0.633249791144528,0.613768666160466,0.668663377965704,0.549219758301068,0.946322067594433,0.898101898101898,0.952477249747219,0.927918781725888
"9","LT",0.677494770518026,0.590115776740971,0.658629363764648,0.63801139306059,0.581712962962963,0.948469387755102,0.859949622166247,0.967296882984159,0.926905132192846
"10","LU",0.812080536912752,0.823571945046999,0.779537456008044,0.844877344877345,0.750648737909884,0.982352941176471,0.978682170542636,0.990272373540856,0.980506822612086
"11","MT",0.716537467700258,0.675565175565176,0.512412629549289,0.684684684684685,0.477452347745235,1,0.990059642147117,0.99403578528827,0.990059642147117
"12","BE",0.758451020746103,0.749155156381121,0.675610312571298,0.727540533855045,0.657414910858995,0.95901492000719,0.96205477000179,0.967201297531087,0.958966015907448
"13","NL",0.787261036922349,0.784713218497253,0.726730111027632,0.786532237988549,0.711429349077738,0.948735019973369,0.954107083471899,0.958201498751041,0.958298582151793
"14","PL",0.676424334732593,0.523454969034992,0.581843673326323,0.587652243027795,0.523184694008818,0.953412138670905,0.901791044776119,0.95457268370607,0.935588743269329
"15","PT",0.607101947308133,0.568449235538646,0.560308581039085,0.627380830692698,0.53676496127262,0.962446657183499,0.951164111300397,0.96293128029655,0.961659513590844
"16","RO",0.52354490463373,0.44213658102547,0.451311986722752,0.523702219996662,0.468109082713545,0.924141339263652,0.831488314883149,0.939845886154611,0.903744659462176
"17","SK",0.548343863679877,0.440988695601242,0.466716716716717,0.527398060521089,0.436698007214239,0.969622733953944,0.916173570019724,0.976366322008863,0.956065901148278
"18","SI",0.686295503211991,0.59475759684528,0.619983327378826,0.614453665283541,0.485567010309278,0.991053677932406,0.973026973026973,0.990981963927856,0.9839518555667
"19","ES",0.668974648640113,0.652438592765626,0.620859709410984,0.679321771009588,0.569750211685013,0.967663387552352,0.965604599045114,0.966022261277094,0.962973846605936
"20","SE",0.765077165839203,0.790682196339434,0.787212825528324,0.83303176517893,0.750892219842969,0.946124523506989,0.952813525107242,0.955729825449026,0.956144824069352
"21","BG",0.50005837711617,0.404955872369314,0.407932569222892,0.486325666552237,0.355815107446849,0.93698175787728,0.842752659574468,0.908694192682108,0.878048780487805
"22","HR",0.447969976117366,0.388279605627562,0.381549232158988,0.426837270341207,0.308739569609135,0.970817120622568,0.916015625,0.96361848574238,0.916417910447761
"23","CY",0.561854371378181,0.571256038647343,0.493743743743744,0.466083150984683,0.441958737260751,0.973947895791583,0.986,0.99800796812749,0.974051896207585
"24","CZ",0.727910917453401,0.656106519742883,0.662911840922312,0.673183593264184,0.541616526273566,0.979273548122307,0.956316652994258,0.978666666666667,0.967087559511488
"25","DK",0.809216774129055,0.799327190288138,0.794342164346655,0.822978723404255,0.775676837129351,0.967576117042309,0.974763406940063,0.971214511041009,0.973090621290067
"26","EE",0.794290834613415,0.780617283950617,0.806847545219638,0.76292270531401,0.698482088646023,0.978032473734479,0.973358705994291,0.989412897016362,0.980732177263969
"27","FI",0.825955242841786,0.816383777872866,0.827668368587406,0.866155276615528,0.773206455826103,0.975363489499192,0.978998384491115,0.980233965308592,0.978964401294498
